rel_day,deposit,loan,realestate,inflation,currency,invest
-10,108.4,109.3,103.9,99.1,101.9,103.9
-9,110.1,108.0,103.1,105.2,110.7,107.3
-8,107.7,103.6,100.8,105.1,113.8,102.8
-7,104.2,99.1,99.8,110.7,116.8,100.3
-6,93.2,87.2,95.0,93.9,100.4,92.1
-5,64.9,71.1,92.4,81.5,52.6,83.4
-4,76.4,90.4,95.9,89.4,61.5,92.1
-3,111.7,112.6,104.8,101.0,111.1,105.4
-2,111.1,110.2,103.4,105.9,113.1,106.7
-1,112.2,108.5,100.9,108.2,118.1,106.0
0,135.9,121.6,99.7,115.0,124.0,102.5
1,116.5,95.6,93.7,101.1,103.1,92.6
2,76.7,75.1,92.7,88.7,54.4,82.7
3,88.9,89.5,96.8,98.7,64.9,93.1
4,159.2,117.2,105.0,112.8,112.2,103.8
5,124.0,116.4,102.1,121.3,114.6,108.3
6,118.5,108.8,99.0,110.0,122.3,105.3
7,115.3,101.2,97.5,104.6,120.7,102.5
8,99.7,85.9,92.0,96.4,104.0,93.3
9,92.9,70.9,91.0,86.3,54.5,81.9
10,80.0,84.5,94.2,93.7,59.5,94.4
11,132.7,110.3,102.6,103.5,112.0,107.2
12,114.7,106.9,101.2,104.1,111.1,106.8
13,113.9,107.8,100.3,108.7,116.2,104.5
14,114.0,100.7,98.3,105.5,117.5,100.4
15,99.6,86.4,92.4,93.2,108.9,91.0
16,70.3,70.0,90.4,85.1,53.9,80.5
17,101.9,89.4,94.6,94.5,58.9,95.1
18,117.6,115.1,103.6,108.2,115.5,108.8
19,115.6,109.8,103.0,122.4,117.3,112.0
20,113.9,107.5,101.9,116.5,120.8,106.4
21,113.2,105.4,99.2,115.7,128.5,103.6
22,98.0,89.0,93.5,95.3,108.7,93.7
23,70.8,71.7,90.2,83.9,54.3,83.6
24,78.7,82.1,92.5,88.7,55.3,91.4
25,109.2,109.2,101.9,101.3,111.9,103.5
26,109.7,106.9,101.1,114.4,114.9,106.5
27,112.0,107.2,99.4,120.3,127.4,105.2
28,113.7,105.6,97.8,145.7,128.9,102.9
29,97.7,88.2,93.2,104.6,111.6,92.6
30,69.7,71.3,90.5,86.1,55.7,84.5
