period,regime,sub,phase,zD,anom_theory,anom_lof,tsne_x,tsne_y,D_deviation,REV_loan_re,tone_inflation,tone_growth,tone_finstab,tone_fiscal,s_deposit,s_loan,s_realestate,s_inflation,s_currency,s_invest,base_rate,cpi_yoy,exchange_rate,kospi_return,unemployment
2016-03,1,1,1-1,1.7340045144807408,0,1,-5.3529,-7.580991,0.6192279541501301,0.4453635941458798,-0.1034482758620689,-0.4417670682730923,-0.423611111111111,1.0,8.01775,40.45278,54.91915,11.2486,31.52653,75.19582,1.5,0.859,1202.41,1.7611,3.98
2016-04,1,1,1-1,2.380015088985573,1,1,-5.342759,-7.547966,0.7489205443296864,0.6949703509545534,-0.1935483870967742,-0.4761904761904761,-0.40625,1.0,4.32674,39.73314,48.97531,12.66658,25.29782,74.8161,1.25,0.84,1163.17,-1.2777,3.63
2016-05,1,1,1-1,2.5103340928568687,1,0,-5.2544665,-7.110458,0.7750832881433506,1.432791899661299,-0.4545454545454545,-0.4808259587020649,-0.4891304347826086,1.0,2.09747,32.59902,51.29014,11.08723,24.93482,56.36925,1.25,0.84,1163.17,-1.2777,3.63
2016-06,1,1,1-1,0.11116865718142156,0,0,-6.037279,-4.3698406,0.2934286652906021,0.6626278436737578,-0.0823529411764705,-0.4222222222222221,-0.4585635359116022,-0.5111111111111111,1.70737,33.68511,54.1265,13.59469,36.61236,41.3405,1.25,0.84,1163.17,-1.2777,3.63
2016-07,1,1,1-1,0.8176166831368851,0,0,-4.674468,-3.1339986,0.435254632123461,0.8977854342488076,-0.1621621621621621,-0.2896551724137931,-0.3116883116883117,-1.0,1.48345,24.00373,47.45012,8.92699,31.16802,34.86769,1.25,0.735,1121.09,3.7191,3.67
2016-08,1,1,1-1,0.7088003718982194,0,0,-4.832707,-5.3329606,0.4134087524810965,1.1041306343902764,-0.2371134020618556,-0.3773584905660377,-0.49,0.2830188679245283,2.20618,26.00499,54.73477,8.60997,32.44243,35.11623,1.25,0.735,1121.09,3.7191,3.67
2016-09,1,1,1-1,-0.07197504978854838,0,0,-3.806596,-5.5294237,0.2566608743759916,0.4802592415041611,-0.2,-0.2539184952978056,-0.2768361581920904,0.3469387755102039,1.9409,24.50251,54.27986,9.31781,27.69477,40.32624,1.25,0.735,1121.09,3.7191,3.67
2016-10,1,1,1-1,-0.771982433704142,0,0,-3.1874237,-5.107951,0.116127925926323,0.1642732797670195,0.0107526881720429,-0.2142857142857142,-0.3385826771653543,0.3469387755102039,2.19095,32.21707,59.18313,13.03982,25.04268,35.20159,1.25,1.452,1156.4,-0.8402,3.43
2016-11,1,1,1-1,-0.26289993845483384,0,0,-3.9139721,-5.2821198,0.2183309393592874,0.3999966898085565,-0.1733333333333332,-0.2844827586206896,-0.2662721893491123,0.3469387755102039,2.38376,33.60887,50.44142,13.3859,36.02457,35.29385,1.25,1.452,1156.4,-0.8402,3.43
2016-12,1,1,1-1,-0.2250253143930595,0,0,-4.3547134,-3.6930766,0.2259346199962701,0.6258018692459733,-0.1208791208791208,-0.2247557003257328,-0.3599999999999999,-0.5,2.75662,30.80879,48.96153,13.50291,31.82058,31.82616,1.25,1.452,1156.4,-0.8402,3.43
