doc_id,source,date,quarter,n_sent,n_token
bok_mpb_201601,mpb,201601,2016Q1,15,215
bok_mpb_201602,mpb,201602,2016Q1,16,220
bok_mpb_201603,mpb,201603,2016Q1,17,220
bok_mpb_201604,mpb,201604,2016Q2,17,229
bok_mpb_201605,mpb,201605,2016Q2,17,223
bok_mpb_201606,mpb,201606,2016Q2,15,208
bok_mpb_201607,mpb,201607,2016Q3,15,193
bok_mpb_201608,mpb,201608,2016Q3,15,196
bok_mpb_201609,mpb,201609,2016Q3,14,201
bok_mpb_201610,mpb,201610,2016Q4,15,197
bok_mpb_201611,mpb,201611,2016Q4,14,194
bok_mpb_201612,mpb,201612,2016Q4,15,208
bok_mpb_201701,mpb,201701,2017Q1,18,235
bok_mpb_201702,mpb,201702,2017Q1,19,246
bok_mpb_201704,mpb,201704,2017Q2,19,255
bok_mpb_201705,mpb,201705,2017Q2,19,240
bok_mpb_201707,mpb,201707,2017Q3,19,259
bok_mpb_201708,mpb,201708,2017Q3,19,257
bok_mpb_201710,mpb,201710,2017Q4,21,273
bok_mpb_201711,mpb,201711,2017Q4,20,273
bok_mpb_201801,mpb,201801,2018Q1,20,264
bok_mpb_201802,mpb,201802,2018Q1,20,270
bok_mpb_201804,mpb,201804,2018Q2,21,269
bok_mpb_201805,mpb,201805,2018Q2,20,251
bok_mpb_201807,mpb,201807,2018Q3,22,246
bok_mpb_201808,mpb,201808,2018Q3,22,265
bok_mpb_201810,mpb,201810,2018Q4,20,265
bok_mpb_201811,mpb,201811,2018Q4,20,280
bok_mpb_201901,mpb,201901,2019Q1,19,265
bok_mpb_201902,mpb,201902,2019Q1,19,262
bok_mpb_201904,mpb,201904,2019Q2,19,269
bok_mpb_201905,mpb,201905,2019Q2,18,255
bok_mpb_201907,mpb,201907,2019Q3,18,250
bok_mpb_201908,mpb,201908,2019Q3,19,253
bok_mpb_201910,mpb,201910,2019Q4,18,242
bok_mpb_201911,mpb,201911,2019Q4,17,236
bok_mpb_202001,mpb,202001,2020Q1,17,251
bok_mpb_202002,mpb,202002,2020Q1,18,244
bok_mpb_202003,mpb,202003,2020Q1,9,366
bok_mpb_202004,mpb,202004,2020Q2,17,236
bok_mpb_202005,mpb,202005,2020Q2,18,249
bok_mpb_202007,mpb,202007,2020Q3,17,261
bok_mpb_202008,mpb,202008,2020Q3,18,253
bok_mpb_202010,mpb,202010,2020Q4,17,244
bok_mpb_202011,mpb,202011,2020Q4,17,253
bok_mpb_202101,mpb,202101,2021Q1,17,244
bok_mpb_202102,mpb,202102,2021Q1,18,263
bok_mpb_202104,mpb,202104,2021Q2,18,235
bok_mpb_202105,mpb,202105,2021Q2,18,250
bok_mpb_202107,mpb,202107,2021Q3,19,242
bok_mpb_202108,mpb,202108,2021Q3,18,254
bok_mpb_202110,mpb,202110,2021Q4,17,262
bok_mpb_202111,mpb,202111,2021Q4,19,286
bok_mpb_202201,mpb,202201,2022Q1,20,290
bok_mpb_202202,mpb,202202,2022Q1,19,277
bok_mpb_202204,mpb,202204,2022Q2,24,463
bok_mpb_202205,mpb,202205,2022Q2,21,300
bok_mpb_202207,mpb,202207,2022Q3,23,325
bok_mpb_202208,mpb,202208,2022Q3,21,388
bok_mpb_202210,mpb,202210,2022Q4,20,297
bok_mpb_202211,mpb,202211,2022Q4,20,324
bok_mpb_202301,mpb,202301,2023Q1,21,352
bok_mpb_202302,mpb,202302,2023Q1,20,360
bok_mpb_202304,mpb,202304,2023Q2,25,424
bok_mpb_202305,mpb,202305,2023Q2,22,392
bok_mpb_202307,mpb,202307,2023Q3,20,335
bok_mpb_202308,mpb,202308,2023Q3,24,382
