doc_id,source,date,quarter,tone_inflation,np_inflation,nn_inflation,tone_growth,np_growth,nn_growth,tone_finstab,np_finstab,nn_finstab,tone_fiscal,np_fiscal,nn_fiscal
bok_mpb_201601,mpb,201601,2016Q1,-0.14285714285714285,3,4,-0.29411764705882354,6,11,-0.6,1,4,,0,0
bok_min_201601,min,201601,2016Q1,-0.07964601769911504,52,61,-0.31002331002331,148,281,-0.47035573122529645,67,186,,0,0
bok_mpb_201602,mpb,201602,2016Q1,-0.6666666666666666,1,5,-0.5,4,12,-1.0,0,8,,0,0
bok_min_201602,min,201602,2016Q1,-0.203125,51,77,-0.51440329218107,118,368,-0.4984520123839009,81,242,,0,0
bok_min_201603,min,201603,2016Q1,-0.08108108108108109,51,60,-0.44166666666666665,134,346,-0.41637010676156583,82,199,,0,0
moef_201603_'2017년도 예산안 편성 및 기금운용계획안 작성지침' 확정,moef,201603,2016Q1,,0,0,,0,0,,0,0,1.0,8,0
bok_mpb_201603,mpb,201603,2016Q1,-0.6,1,4,-0.4444444444444444,5,13,-0.7142857142857143,1,6,,0,0
bok_mpb_201604,mpb,201604,2016Q2,-0.7142857142857143,1,6,-0.8461538461538461,1,12,-0.3333333333333333,2,4,,0,0
bok_min_201604,min,201604,2016Q2,-0.1623931623931624,49,68,-0.46547884187082406,120,329,-0.408,74,176,,0,0
bok_mpb_201605,mpb,201605,2016Q2,-0.6666666666666666,1,5,-0.8181818181818182,1,10,-1.0,0,6,,0,0
bok_min_201605,min,201605,2016Q2,-0.43661971830985913,20,51,-0.4695121951219512,87,241,-0.47191011235955055,47,131,,0,0
moef_201606_2016년 하반기 경제정책방향,moef,201606,2016Q2,,0,0,,0,0,,0,0,-0.5111111111111111,11,34
bok_min_201606,min,201606,2016Q2,-0.02564102564102564,38,40,-0.41210374639769454,102,245,-0.4514285714285714,48,127,,0,0
bok_mpb_201606,mpb,201606,2016Q2,-0.7142857142857143,1,6,-0.6923076923076923,2,11,-0.6666666666666666,1,5,,0,0
bok_min_201607,min,201607,2016Q3,-0.10144927536231885,31,38,-0.2831541218637993,100,179,-0.2980132450331126,53,98,,0,0
moef_201607_2016년 추가경정예산안,moef,201607,2016Q3,,0,0,,0,0,,0,0,-1.0,0,6
moef_201607_(보도참고) 2016년 추경예산안 합동브리핑,moef,201607,2016Q3,,0,0,,0,0,,0,0,-1.0,0,3
bok_mpb_201607,mpb,201607,2016Q3,-1.0,0,5,-0.45454545454545453,3,8,-1.0,0,3,,0,0
bok_mpb_201608,mpb,201608,2016Q3,-1.0,0,5,-0.5714285714285714,3,11,-0.3333333333333333,2,4,,0,0
bok_min_201608,min,201608,2016Q3,-0.1956521739130435,37,55,-0.3684210526315789,96,208,-0.4948453608247423,49,145,,0,0
moef_201608_(보도참고) 2017년 예산안 합동브리핑,moef,201608,2016Q3,,0,0,,0,0,,0,0,,0,0
moef_201608_2017년 국세세입 예산안,moef,201608,2016Q3,,0,0,,0,0,,0,0,,0,0
moef_201608__일자리 우선! 경제활력 우선!_ 2017년 예산안 및 2016~2020년 국가재정운용계획,moef,201608,2016Q3,,0,0,,0,0,,0,0,0.2830188679245283,34,19
bok_mpb_201609,mpb,201609,2016Q3,-0.2,2,3,-0.25,6,10,-0.14285714285714285,3,4,,0,0
moef_201609_2016~2020년 국가재정운용계획,moef,201609,2016Q3,,0,0,,0,0,,0,0,0.39436619718309857,99,43
moef_201609_2016년 추가경정예산안 국회 확정,moef,201609,2016Q3,,0,0,,0,0,,0,0,-1.0,0,4
moef_201609_추석 이전에 추경예산 70%이상(중앙부처 기준) 집행 전망,moef,201609,2016Q3,,0,0,,0,0,,0,0,-1.0,0,1
bok_min_201609,min,201609,2016Q3,-0.2,44,66,-0.25412541254125415,113,190,-0.2823529411764706,61,109,,0,0
bok_min_201610,min,201610,2016Q4,0.023255813953488372,44,42,-0.22336769759450173,113,178,-0.32786885245901637,41,81,,0,0
bok_mpb_201610,mpb,201610,2016Q4,-0.14285714285714285,3,4,-0.058823529411764705,8,9,-0.6,1,4,,0,0
bok_mpb_201611,mpb,201611,2016Q4,-0.6666666666666666,1,5,-0.7142857142857143,2,12,-0.3333333333333333,2,4,,0,0
bok_min_201611,min,201611,2016Q4,-0.13043478260869565,30,39,-0.25688073394495414,81,137,-0.26380368098159507,60,103,,0,0
bok_mpb_201612,mpb,201612,2016Q4,-0.2,2,3,-0.375,5,11,-0.6666666666666666,1,5,,0,0
bok_min_201612,min,201612,2016Q4,-0.11627906976744186,38,48,-0.21649484536082475,114,177,-0.35051546391752575,63,131,,0,0
moef_201612_2017년 경제정책방향,moef,201612,2016Q4,,0,0,,0,0,,0,0,-0.5,7,21
bok_mpb_201701,mpb,201701,2017Q1,0.1111111111111111,5,4,-0.18181818181818182,9,13,-0.5,2,6,,0,0
bok_min_201701,min,201701,2017Q1,0.08928571428571429,61,51,-0.10256410256410256,175,215,-0.16279069767441862,72,100,,0,0
bok_mpb_201702,mpb,201702,2017Q1,0.75,7,1,-0.1,9,11,-0.25,3,5,,0,0
bok_min_201702,min,201702,2017Q1,0.2356687898089172,97,60,-0.1437908496732026,131,175,-0.22448979591836735,57,90,,0,0
moef_201703_'2018년도 예산안 편성 및 기금운용계획안 작성지침' 확정,moef,201703,2017Q1,,0,0,,0,0,,0,0,0.09090909090909091,6,5
bok_min_201704,min,201704,2017Q2,-0.10843373493975904,37,46,0.011494252873563218,176,172,-0.2578616352201258,59,100,,0,0
bok_mpb_201704,mpb,201704,2017Q2,0.6666666666666666,5,1,-0.18181818181818182,9,13,0.0,4,4,,0,0
moef_201705_2018년도 예산안 편성 및 기금운용계획안 작성 추가지침,moef,201705,2017Q2,,0,0,,0,0,,0,0,,0,0
bok_mpb_201705,mpb,201705,2017Q2,1.0,5,0,0.2,9,6,-0.2,4,6,,0,0
bok_min_201705,min,201705,2017Q2,0.1717171717171717,58,41,0.12727272727272726,186,144,-0.2777777777777778,52,92,,0,0
"moef_201706_[보도참고] 국제신용평가사 Moody’s, 추경 예산안 관련 Comment",moef,201706,2017Q2,,0,0,,0,0,,0,0,-1.0,0,3
moef_201706_2017년 추가경정예산안,moef,201706,2017Q2,,0,0,,0,0,,0,0,-1.0,0,4
moef_201707_새정부 경제정책방향,moef,201707,2017Q3,,0,0,,0,0,,0,0,-1.0,0,10
moef_201707_2017년 일자리 추가경정예산안 국회 확정,moef,201707,2017Q3,,0,0,,0,0,,0,0,-1.0,0,4
bok_min_201707,min,201707,2017Q3,0.0847457627118644,64,54,0.08753315649867374,205,172,-0.2972972972972973,52,96,,0,0
bok_mpb_201707,mpb,201707,2017Q3,0.3333333333333333,6,3,0.14285714285714285,12,9,-0.5,2,6,,0,0
