period,tone_inflation,tone_growth,tone_finstab,tone_fiscal
2016-01,-0.08333333333333329,-0.3094170403587444,-0.4728682170542635,
2016-02,-0.22388059701492538,-0.5139442231075697,-0.5105740181268882,
2016-03,-0.1034482758620689,-0.4417670682730923,-0.42361111111111105,1.0
2016-04,-0.1935483870967742,-0.4761904761904761,-0.40625,1.0
2016-05,-0.4545454545454545,-0.4808259587020649,-0.4891304347826086,1.0
2016-06,-0.08235294117647055,-0.42222222222222217,-0.4585635359116022,-0.5111111111111111
2016-07,-0.16216216216216212,-0.2896551724137931,-0.3116883116883117,-1.0
2016-08,-0.23711340206185566,-0.37735849056603776,-0.49,0.2830188679245283
2016-09,-0.2,-0.2539184952978056,-0.2768361581920904,0.34693877551020397
2016-10,0.01075268817204295,-0.21428571428571427,-0.3385826771653543,0.34693877551020397
2016-11,-0.17333333333333328,-0.28448275862068967,-0.26627218934911234,0.34693877551020397
2016-12,-0.12087912087912082,-0.22475570032573286,-0.35999999999999993,-0.5
2017-01,0.09090909090909084,-0.10679611650485432,-0.17777777777777776,-0.5
2017-02,0.2606060606060606,-0.1411042944785276,-0.2258064516129032,-0.5
2017-03,0.2606060606060606,-0.1411042944785276,-0.2258064516129032,0.0909090909090909
2017-04,-0.05617977528089883,-1.6803375507840208e-17,-0.24550898203592814,0.0909090909090909
2017-05,0.21153846153846154,0.1304347826086956,-0.2727272727272727,0.0909090909090909
2017-06,0.21153846153846154,0.1304347826086956,-0.2727272727272727,-1.0
2017-07,0.10236220472440945,0.09045226130653262,-0.3076923076923077,-1.0
2017-08,0.1452991452991453,0.11746031746031746,-0.3475177304964539,-0.1875
2017-09,0.1452991452991453,0.11746031746031746,-0.3475177304964539,-0.1875
2017-10,0.2606060606060605,0.1569506726457398,-0.18367346938775506,-1.0
2017-11,0.10382513661202186,0.2448377581120944,-0.07586206896551721,-1.0
2017-12,0.10382513661202186,0.2448377581120944,-0.07586206896551721,-0.6428571428571429
2018-01,0.2659574468085106,0.1982758620689654,-0.04242424242424239,-0.6428571428571429
2018-02,0.14285714285714277,0.20334261838440107,-0.2578616352201258,-0.6428571428571429
2018-03,0.14285714285714277,0.20334261838440107,-0.2578616352201258,0.074074074074074
2018-04,0.1677018633540372,0.12105263157894731,-0.2356687898089172,-1.0
2018-05,0.3888888888888889,0.10192837465564733,-0.2727272727272727,-1.0
2018-06,0.3888888888888889,0.10192837465564733,-0.2727272727272727,-1.0
2018-07,0.39999999999999997,0.1495601173020528,-0.26785714285714285,-1.0
2018-08,0.19672131147540978,0.034055727554179564,-0.28484848484848474,-0.8148148148148148
